,AGE,GENDER,EDUCATION,MARITAL_STATUS,CHILD_TOTAL,DEPENDANTS,SOCSTATUS_WORK_FL,SOCSTATUS_PENS_FL,AGREEMENT_RK,TARGET,PERSONAL_INCOME,CREDIT_AMOUNT,CLOSED,PROPERTY
0,42,1,Среднее,Не состоял в браке,1,0,1,0,60099204,1,25000.0,1,0,1
1,28,1,Среднее специальное,Состою в браке,1,1,1,0,62244665,0,10000.0,1,0,0
2,64,0,Среднее специальное,Состою в браке,2,0,1,1,61050759,0,30000.0,1,1,1
3,54,1,Среднее специальное,Состою в браке,0,0,1,0,62079659,0,25000.0,1,0,1
4,26,0,Среднее специальное,Состою в браке,1,1,1,0,66583553,0,15000.0,2,1,1
5,63,1,Среднее,Состою в браке,2,0,0,1,66759647,0,7800.0,1,1,0
6,32,0,Среднее специальное,Состою в браке,0,0,1,0,60045224,1,12000.0,1,0,0
7,52,1,Среднее,Состою в браке,1,0,1,0,66593813,0,8000.0,3,1,1
8,47,0,Среднее,Состою в браке,2,0,1,0,62380912,0,10000.0,1,0,0
9,23,1,Среднее специальное,Не состоял в браке,0,0,1,0,65420244,0,7000.0,1,1,0
10,42,1,Среднее специальное,Состою в браке,2,1,1,0,64885090,0,9000.0,1,0,0
11,31,1,Среднее специальное,Не состоял в браке,0,0,1,0,61241205,0,12000.0,1,0,1
12,37,1,Среднее специальное,Состою в браке,2,2,1,0,63590644,0,20000.0,1,0,0
13,52,1,Среднее специальное,Вдовец/Вдова,3,0,0,1,62168155,0,5500.0,1,0,1
14,46,1,Среднее,Не состоял в браке,2,0,1,0,74560681,0,55000.0,2,1,0
15,28,1,Среднее,Не состоял в браке,1,1,1,0,60387399,0,8500.0,1,0,0
16,62,1,Неполное среднее,Не состоял в браке,0,0,0,1,62810257,0,8000.0,1,0,0
17,50,0,Среднее специальное,Состою в браке,1,0,1,0,61376906,0,20000.0,1,0,1
18,64,0,Высшее,Не состоял в браке,0,0,0,1,61257026,0,9000.0,1,0,1
19,41,1,Среднее,Состою в браке,0,0,1,0,62171073,0,6500.0,1,0,0
20,27,1,Среднее специальное,Не состоял в браке,0,0,1,0,64365052,0,7000.0,1,1,0
21,41,1,Среднее специальное,Состою в браке,0,0,1,0,60456097,0,8000.0,1,1,0
22,30,1,Высшее,Не состоял в браке,0,0,1,0,75021737,0,15000.0,3,0,1
23,61,1,Среднее специальное,Состою в браке,2,0,1,1,74834078,0,27000.0,1,0,1
24,38,1,Среднее,Состою в браке,0,1,1,0,67335615,0,15000.0,3,0,0
25,51,1,Среднее,Гражданский брак,0,0,1,0,66194407,0,6000.0,1,0,0
26,58,0,Среднее,Состою в браке,2,0,0,1,63326150,0,10500.0,1,0,0
27,35,0,Высшее,Разведен(а),1,1,1,0,59911832,0,15000.0,2,1,1
28,45,0,Среднее,Состою в браке,2,1,1,0,66756441,0,20000.0,4,1,1
29,25,1,Среднее,Состою в браке,0,0,1,0,65405795,0,9000.0,2,1,1
30,62,1,Среднее специальное,Состою в браке,2,0,1,1,62083785,0,13000.0,1,0,1
31,30,1,Среднее специальное,Состою в браке,1,1,1,0,62128075,0,11000.0,1,0,1
32,56,1,Неполное среднее,Состою в браке,3,0,1,1,61427836,0,20000.0,1,1,1
33,36,1,Среднее,Не состоял в браке,1,1,1,0,62599729,0,15000.0,1,0,1
34,55,1,Высшее,Состою в браке,2,0,1,0,62623117,0,13000.0,1,0,0
35,29,0,Среднее,Не состоял в браке,1,1,1,0,61253219,0,25000.0,1,0,0
36,32,0,Среднее специальное,Состою в браке,2,1,1,0,63913234,0,21000.0,1,0,1
37,36,0,Среднее,Состою в браке,1,1,1,0,67020373,0,15000.0,2,1,1
38,27,0,Среднее специальное,Состою в браке,2,2,1,0,61306799,0,6500.0,1,0,1
39,41,0,Среднее специальное,Состою в браке,3,2,1,0,61378742,0,10000.0,1,0,0
40,54,1,Среднее,Вдовец/Вдова,2,0,0,1,67531672,0,6500.0,1,0,0
41,52,0,Среднее специальное,Состою в браке,1,0,1,0,60468475,0,30000.0,1,1,1
42,28,1,Среднее специальное,Разведен(а),1,1,1,0,66961178,0,12000.0,1,0,0
43,26,1,Среднее специальное,Состою в браке,1,1,1,0,66902951,0,8000.0,1,0,0
44,27,0,Среднее,Состою в браке,1,1,1,0,61958864,0,20000.0,1,0,1
45,28,0,Среднее специальное,Не состоял в браке,0,0,1,0,64564180,1,12000.0,1,0,0
46,25,1,Среднее специальное,Состою в браке,1,1,1,0,61243509,0,11000.0,1,0,1
47,39,1,Среднее,Состою в браке,2,2,1,0,72289471,0,8000.0,2,0,0
48,64,1,Высшее,Вдовец/Вдова,0,0,1,0,66661261,1,23000.0,1,0,1
49,43,0,Неполное среднее,Состою в браке,1,1,1,0,63907628,0,20000.0,1,0,0
50,44,0,Среднее специальное,Гражданский брак,0,0,1,0,65007484,0,22000.0,1,0,1
51,34,1,Высшее,Состою в браке,2,2,1,0,64335140,0,15000.0,1,0,0
52,34,1,Среднее,Состою в браке,1,1,1,0,66745524,1,7000.0,2,1,1
53,51,1,Неоконченное высшее,Не состоял в браке,1,0,1,0,61938660,0,7500.0,2,1,0
